id,lifecycleStatus,aliases,previousName,pricingModel,hasFreeTier,hasFreeTrial,experienceLevel,targetUsers,platforms,apiAvailable,openSource,selfHosted,lastVerifiedAt,verificationSources
motion,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
murf-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
n8n,active,,,free,true,unknown,unknown,unknown,unknown,unknown,true,true,,
nabla-copilot,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
neuronwriter,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
nightcafe,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
nosto,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
notion-ai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
ocoya,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
octane-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
omneky,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
openai-api,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
otterai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
pencil,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
perplexity-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
phind,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
photor,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
pictory,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
pieces,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
pitch,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
pixlr-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
pixray,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
playground-ai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
polyai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
polymer,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
postwise,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
predisai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
presentationsai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
prowritingaid,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
quickads,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
quillbot,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
quizizz-ai,rebranded,Quizizz|Quizizz AI|Wayground AI,Quizizz AI,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
quizlet-q-chat,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
rasa,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
readai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
rebuy,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
reclaim,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
reflect,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
regieai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
relay,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
relume,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
remini,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
removebg,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
replai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
replicate,active,,,freemium,true,unknown,unknown,unknown,unknown,true,unknown,unknown,,
replika,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
replit-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
replyio,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
research-rabbit,active,,,free,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
resemble-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
resume-worded,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
retool,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
rev-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
rezi,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
rows,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
runway,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
rytr,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
scalenut,active,,,paid,false,true,unknown,unknown,unknown,unknown,unknown,unknown,,
scholarcy,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
scispace,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
sembly,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
semrush,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
shopify-magic,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
shortly-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
shortwave,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
simplified,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
sivi-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
slidesai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
slidespeak,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
smartwriter,active,,,paid,false,true,unknown,unknown,unknown,unknown,unknown,unknown,,
softr,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
sonara,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
soundraw,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
sourcegraph-cody,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
spark,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
speechify,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
speedy-brand,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
spellbook,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
stable-diffusion,active,,,free,true,unknown,unknown,unknown,unknown,unknown,true,unknown,,
starryai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
sudowrite,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
superhuman,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
surfer-seo,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
synthesia,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
tableau-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
tabnine,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
tana,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
taplio,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
taskade,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
teal,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
textcortex,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
thoughtspot,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
tidio,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
tl;dv,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
together-ai,active,,,paid,false,unknown,unknown,unknown,unknown,true,unknown,unknown,,
tome,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
topaz-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
trayio,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
trint,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
twain,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
tweet-hunter,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
uizard,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
ultimateai,acquired,Ultimate.ai|Zendesk AI Agents,Ultimate.ai,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
unicorn-platform,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
upscalemedia,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
v0-by-vercel,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
vicai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
visenze,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
voiceflow,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
warmerai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
warp,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
webflow,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
wix-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
woebot,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
wordtune,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
workato,active,,,enterprise,false,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,,
writecream,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
writesonic,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
wysa,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
yellowai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
yoodli,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
youcom,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
youper,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
zapier-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
zendesk-ai,active,,,enterprise,false,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,,
zipchat,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
sora,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
replit,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lovable,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
bolt,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
dora-run,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
base44,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
manus,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
readdy-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
